## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
1,Burgess Excel Rabbit Nuggets 10kg,Small Pet,"Burgess Excel is the UK's number one vet recommended food for Fibrevores (Rabbits, Guinea Pigs and Chinchillas are considered as Fibrevores). This is a specially developed, nutrient-dense food specifically designed to meet small pets' nutritional requirements - it's basically a Super-Premium food for small pets!","https://www.animates.co.nz/media/catalog/product/a/d/adult_rabbit_mint_10kg_side.png?width=560&height=560&canvas=560,560&quality=80&bg-color=255,255,255&fit=bounds",$139.99 ,https://www.animates.co.nz/burgess-excel-tasty-rabbit-nuggets-10kg.html,,,,,,,,,,,,,
2,Burgess Excel Rabbit Nuggets Nature Blend 1.5kg,Small Pet,Excel Nature's Blend Nuggets prevent selective feeding where the rabbit picks out the sweet high sugar elements of the diet and leaves the nutritious and fibre rich elements.,"https://www.animates.co.nz/media/catalog/product/n/a/nature_s_blend_1.5kg_front_2.png?width=622&height=560&canvas=622,560&quality=80&bg-color=255,255,255&fit=bounds",$35.99 ,https://www.animates.co.nz/burgess-excel-nuggets-nature-blend-15kg.html,,,,,,,,,,,,,
3,Topflite Rabbit And Guinea Pig Pellets 2kg,Small Pet,"These pellets are specifically designed for growing and breeding rabbits and guinea pigs. Made from quality fibre-rich ingredients, they’re perfect for your little furry friend.","https://www.animates.co.nz/media/catalog/product/t/o/topflite_rg_rabbitandguineapigpellets_2kg_lr.jpg?width=700&height=525&canvas=700,525&quality=80&bg-color=255,255,255&fit=bounds",$21.99 ,https://www.animates.co.nz/topflite-rabbit-and-guines-pig-pellets-2kg.html,,,,,,,,,,,,,
4,Burgess Excel Indoor Rabbit Pellets 1.5kg,Small Pet,Burgess Excel Indoor Rabbit Pellets are a complementary feed for rabbits and ideal for rabbits living indoors.,"https://www.animates.co.nz/media/catalog/product/i/n/indoor_rabbit_1.5kg_front.png?width=622&height=560&canvas=622,560&quality=80&bg-color=255,255,255&fit=bounds",$35.99 ,https://www.animates.co.nz/burgess-excel-indoor-rabbit-pellets-1-5kg.html,,,,,,,,,,,,,
